group,pixel_separation,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m,scene
2025/Day001_Wheat,16,relative_scale_shift,400000,0.0255320703125,0.02590717630147934,0.056753419179514396,0.000441537983417511,0.24289005382886036,0.18743259179641733,0.563190467927584,0.05834150892332682,2025/Day001_Wheat
2025/Day001_Wheat,32,metric_raw,400000,0.04072978515625,0.051021914187669756,0.10836598550798662,0.002928305393457413,0.07952623706848645,0.1225961457476989,0.5433222808066532,0.08103282735102987,2025/Day001_Wheat
2025/Day001_Wheat,32,metric_bias_corrected,400000,0.04072978515625,0.05102191579818725,0.10836598464479637,0.002928304166793823,0.07952623660529937,0.12259605640711627,0.5433192609906204,0.08103282735102987,2025/Day001_Wheat
2025/Day001_Wheat,32,metric_scale_shift,400000,0.04072978515625,0.08495206124067306,0.2508095672353368,0.0036961345076560975,0.08057869431315429,0.09318365675554367,0.5330669855592397,0.08103282735102987,2025/Day001_Wheat
2025/Day001_Wheat,32,relative_scale_shift,400000,0.04072978515625,0.040280173742771146,0.07676442514002994,0.0009418425107002258,0.3295990550125503,0.23847330050586912,0.5757973824234628,0.08103282735102987,2025/Day001_Wheat
2025/Day001_Wheat,64,metric_raw,400000,0.05929376953125,0.07580577487826347,0.1694457136159033,0.004959079157114029,0.10662879768209158,0.17477415792445278,0.559274340102676,0.11046939158077419,2025/Day001_Wheat
2025/Day001_Wheat,64,metric_bias_corrected,400000,0.05929376953125,0.07580577476263047,0.1694457112174358,0.00495907897233963,0.10662880535328595,0.17477418182557786,0.5592715006133298,0.11046939158077419,2025/Day001_Wheat
2025/Day001_Wheat,64,metric_scale_shift,400000,0.05929376953125,0.1360304763889313,0.4135107988567875,0.004939927387237549,0.10750161487892716,0.13412925667518988,0.544486279587479,0.11046939158077419,2025/Day001_Wheat
2025/Day001_Wheat,64,relative_scale_shift,400000,0.05929376953125,0.0572423685002327,0.10146227297669984,0.0019968408226966857,0.4082078358375552,0.30443229813012757,0.5959179501158511,0.11046939158077419,2025/Day001_Wheat
2025/Day001_Wheat,128,metric_raw,400000,0.08255787109375,0.10944219259381294,0.2416042697594326,0.009481701748371124,0.14351676483328205,0.22539314011661118,0.5738543421803614,0.14677389237932015,2025/Day001_Wheat
2025/Day001_Wheat,128,metric_bias_corrected,400000,0.08255787109375,0.10944219199895859,0.24160426798040766,0.009481703794002533,0.14351677647752745,0.22539317761774497,0.5738543421803614,0.14677389237932015,2025/Day001_Wheat
2025/Day001_Wheat,128,metric_scale_shift,400000,0.08255787109375,0.21337289896011352,0.6103382164535184,0.00831733868598938,0.14269270118085634,0.169679379847303,0.5577423556816599,0.14677389237932015,2025/Day001_Wheat
2025/Day001_Wheat,128,relative_scale_shift,400000,0.08255787109375,0.07856911361455918,0.13311965086277625,0.003552543914318085,0.44994928375047605,0.36987703452628484,0.6191754486095902,0.14677389237932015,2025/Day001_Wheat
2025/Day007_Corn,8,metric_raw,320000,0.0082624267578125,0.014137326415628195,0.06351435749307904,0.0007364309854805469,0.04225440508250341,0.01928261390137417,0.5113633650839122,0.06194770008936797,2025/Day007_Corn
2025/Day007_Corn,8,metric_bias_corrected,320000,0.0082624267578125,0.014137329125404358,0.06351435416986186,0.000736431634426117,0.04225469966136667,0.019282656599949884,0.511303683544606,0.06194770008936797,2025/Day007_Corn
2025/Day007_Corn,8,metric_scale_shift,320000,0.0082624267578125,0.022650586494803428,0.07822278339022926,0.0018649380415678024,0.04307192330480911,0.016220199117360508,0.5079615173434553,0.06194770008936797,2025/Day007_Corn
2025/Day007_Corn,8,relative_scale_shift,320000,0.0082624267578125,0.010261054700613021,0.07252036305072798,0.00028434720635414125,0.22834708132645745,0.07838348599856172,0.5438898040058249,0.06194770008936797,2025/Day007_Corn
2025/Day007_Corn,16,metric_raw,320000,0.014813623046875,0.02387851931154728,0.08823903018812133,0.001733628499507904,0.0548171649653268,0.0227527173895661,0.5103916835077731,0.08475539542603451,2025/Day007_Corn
2025/Day007_Corn,16,metric_bias_corrected,320000,0.014813623046875,0.023878519767522813,0.08823903086508442,0.0017336320340633393,0.054817161494007796,0.022752847963882522,0.5103838199561214,0.08475539542603451,2025/Day007_Corn
2025/Day007_Corn,16,metric_scale_shift,320000,0.014813623046875,0.039388152846693995,0.11961063668280301,0.004062807944417,0.049319868726133836,0.02480408419715215,0.5123182536624492,0.08475539542603451,2025/Day007_Corn
2025/Day007_Corn,16,relative_scale_shift,320000,0.014813623046875,0.01764114102125168,0.10294244689580737,0.0007515313982963562,0.1343621047834478,0.09814030100242015,0.5427501985546792,0.08475539542603451,2025/Day007_Corn
2025/Day007_Corn,32,metric_raw,320000,0.024016455078125,0.038439827665686606,0.12335786960256029,0.0035212287098169326,0.08399634795627085,0.030688222242631562,0.5103583342816245,0.11740162234695294,2025/Day007_Corn
2025/Day007_Corn,32,metric_bias_corrected,320000,0.024016455078125,0.03843982729911804,0.12335787280062026,0.00352122882604599,0.08399628214740215,0.03068818310699419,0.5103463558667282,0.11740162234695294,2025/Day007_Corn
2025/Day007_Corn,32,metric_scale_shift,320000,0.024016455078125,0.06578541509807109,0.18111115921617948,0.00867654781639576,0.08478557786465228,0.03001583325455748,0.5110351147232687,0.11740162234695294,2025/Day007_Corn
2025/Day007_Corn,32,relative_scale_shift,320000,0.024016455078125,0.027392138862609862,0.13082868019071758,0.0018544183850288391,0.2647643594608684,0.11648455594475747,0.5434546946402583,0.11740162234695294,2025/Day007_Corn
2025/Day007_Corn,64,metric_raw,320000,0.0363779052734375,0.059334694491326806,0.16361984075958524,0.00749008436948061,0.1189928047518959,0.05049653124698009,0.5169592628273924,0.1519752085032443,2025/Day007_Corn
2025/Day007_Corn,64,metric_bias_corrected,320000,0.0363779052734375,0.059334694576263426,0.1636198425430887,0.007490084159374237,0.11899278094512897,0.05049660088095892,0.5169592628273924,0.1519752085032443,2025/Day007_Corn
2025/Day007_Corn,64,metric_scale_shift,320000,0.0363779052734375,0.10665575660765171,0.2762742758307916,0.017618985649943353,0.1129596359957299,0.044437168331599164,0.5120124991888506,0.1519752085032443,2025/Day007_Corn
2025/Day007_Corn,64,relative_scale_shift,320000,0.0363779052734375,0.04052857846617699,0.15725133805997657,0.00341217719912529,0.3751864071354771,0.133146749948345,0.5430158785621939,0.1519752085032443,2025/Day007_Corn
2025/Day007_Corn,128,metric_raw,320000,0.05476484375,0.09310014128535986,0.21972802346652026,0.014048835311830044,0.1447661984616253,0.06831055884467001,0.528555603421749,0.19833828566244677,2025/Day007_Corn
2025/Day007_Corn,128,metric_bias_corrected,320000,0.05476484375,0.09310014082193374,0.21972802396531352,0.014048836505413055,0.14476619473908403,0.06831052867391418,0.5285468116719271,0.19833828566244677,2025/Day007_Corn
2025/Day007_Corn,128,metric_scale_shift,320000,0.05476484375,0.17497220433950425,0.4192649764606478,0.03424958268404007,0.14673526910653606,0.06114685714990677,0.5155745848096147,0.19833828566244677,2025/Day007_Corn
2025/Day007_Corn,128,relative_scale_shift,320000,0.05476484375,0.06145231822133064,0.20179043740268618,0.006614879101514816,0.4419578779132223,0.16136491444447257,0.5479458076540974,0.19833828566244677,2025/Day007_Corn
