pixel_separation,gt_magnitude_lower_m,gt_magnitude_upper_m,gt_magnitude_bin,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m
32,0.02,0.05,0.02-0.05 m,metric_scale_shift,213358,0.03301683672512866,0.08063952068345699,0.18239795457233132,0.0075707118607457775,0.034991566819287924,0.05141313772077054,0.5203132762774304,0.033860454966333
32,0.02,0.05,0.02-0.05 m,relative_scale_shift,213358,0.03301683672512866,0.03480547124526736,0.05433351282861988,0.00028653931035094274,0.06918673860866474,0.14321027553724028,0.552358008605255,0.033860454966333
32,0.05,0.1,0.05-0.10 m,metric_raw,83625,0.07238210014947682,0.08346735674312118,0.13780226213216393,0.0056693020038006015,0.06203684783986761,0.11871727778331644,0.5560418535127055,0.07363374169381579
32,0.05,0.1,0.05-0.10 m,metric_bias_corrected,83625,0.07238210014947682,0.08346736061769038,0.13780226525220812,0.0056692998113475395,0.062036805247609475,0.11871704512303251,0.5560418535127055,0.07363374169381579
32,0.05,0.1,0.05-0.10 m,metric_scale_shift,83625,0.07238210014947682,0.14716645855183738,0.33014710931293495,0.013352989424860887,0.061236946582142675,0.09396835008149096,0.5429237668161435,0.07363374169381579
32,0.05,0.1,0.05-0.10 m,relative_scale_shift,83625,0.07238210014947682,0.06902818029201262,0.08077053463251552,0.0006058317221511818,0.20793365370119973,0.29959868683262586,0.6277070254110613,0.07363374169381579
32,0.1,0.2,0.10-0.20 m,metric_raw,46741,0.1404510025994309,0.14388879220641415,0.19557748638068123,0.012842729659317287,0.09326262347579632,0.19727894120412437,0.6043088509017779,0.14263775350876198
32,0.1,0.2,0.10-0.20 m,metric_bias_corrected,46741,0.1404510025994309,0.1438887923951454,0.19557749022823628,0.01284272758327352,0.09326263172922178,0.19727902587475274,0.6043088509017779,0.14263775350876198
32,0.1,0.2,0.10-0.20 m,metric_scale_shift,46741,0.1404510025994309,0.2045008408462447,0.46291777581901283,0.018947890454636684,0.07855378932023498,0.1564031130168695,0.5792986885175756,0.14263775350876198
32,0.1,0.2,0.10-0.20 m,relative_scale_shift,46741,0.1404510025994309,0.12577466874334714,0.1366064778263238,0.007133155310710718,0.3329040084711609,0.4317491880096144,0.7027235189662181,0.14263775350876198
32,0.2,0.5,0.20-0.50 m,metric_raw,31655,0.3027232072342442,0.2927955350196488,0.32263772129135443,0.021038039083485355,0.14447416367966875,0.26476356768833165,0.6322855788974886,0.3119548302678133
32,0.2,0.5,0.20-0.50 m,metric_bias_corrected,31655,0.3027232072342442,0.2927955394257416,0.3226377229118131,0.021038031860505815,0.14447412724758402,0.26476361618212385,0.6322855788974886,0.3119548302678133
32,0.2,0.5,0.20-0.50 m,metric_scale_shift,31655,0.3027232072342442,0.33122445421184227,0.5115585501938981,0.024410619722160565,0.09633788322724106,0.1756992927217456,0.5779813615542568,0.3119548302678133
32,0.2,0.5,0.20-0.50 m,relative_scale_shift,31655,0.3027232072342442,0.2592762220566767,0.28017860162743224,0.009489322277328788,0.4409743843086691,0.5892933732894765,0.7882483020060023,0.3119548302678133
32,0.5,1.0,0.50-1.00 m,metric_raw,7290,0.6573945473251028,0.6311322301176513,0.6588488762057325,-0.014260658086245607,0.19052482100856388,0.2700285800647638,0.6370370370370371,0.6691711333827728
32,0.5,1.0,0.50-1.00 m,metric_bias_corrected,7290,0.6573945473251028,0.6311322195212701,0.6588488650227107,-0.01426064055642964,0.19052488540476656,0.2700290250282898,0.6370370370370371,0.6691711333827728
32,0.5,1.0,0.50-1.00 m,metric_scale_shift,7290,0.6573945473251028,0.6322547452112939,0.7525242909171748,0.0009990930230202172,0.1662653025763115,0.24756644150426124,0.6115226337448559,0.6691711333827728
32,0.5,1.0,0.50-1.00 m,relative_scale_shift,7290,0.6573945473251028,0.5522806171527125,0.5841396159654436,-0.023610616482497897,0.5321709021911649,0.6379359180808735,0.8432098765432099,0.6691711333827728
